Campaign,Ad Group,Keyword,Match Type,Max CPC
Man With A Van - Exact Match,Totton and Eling - Man With Van,[man and van totton and eling],Exact,
Man With A Van - Exact Match,Wallasey - Man With Van,[man and van wallasey],Exact,
Man With A Van - Exact Match,Wilton - Man With Van,[man and van wilton],Exact,
Man With A Van - Exact Match,Yateley - Man With Van,[man and van yateley],Exact,
Man With A Van - Exact Match,Blyth - Man With Van,[man and van blyth],Exact,
Man With A Van - Exact Match,Bedale - Man With Van,[man and van bedale],Exact,
Man With A Van - Exact Match,Kilwinning - Man With Van,[man and van kilwinning],Exact,
Man With A Van - Exact Match,Highworth - Man With Van,[man and van highworth],Exact,
Man With A Van - Exact Match,Kirton-in-Lindsey - Man With Van,[man and van kirton-in-lindsey],Exact,
Man With A Van - Exact Match,Llangefni - Man With Van,[man and van llangefni],Exact,
Man With A Van - Exact Match,Tynemouth - Man With Van,[man and van tynemouth],Exact,
Man With A Van - Exact Match,Wednesbury - Man With Van,[man and van wednesbury],Exact,
Man With A Van - Exact Match,Wimbledon - Man With Van,[man and van wimbledon],Exact,
Man With A Van - Exact Match,Sutton Coldfield - Man With Van,[man and van sutton coldfield],Exact,
Man With A Van - Exact Match,Aldershot - Man With Van,[man and van aldershot],Exact,
Man With A Van - Exact Match,Ashford - Man With Van,[man and van ashford],Exact,
Man With A Van - Exact Match,Llandysul - Man With Van,[man and van llandysul],Exact,
Man With A Van - Exact Match,Luton - Man With Van,[man and van luton],Exact,
Man With A Van - Exact Match,Ongar - Man With Van,[man and van ongar],Exact,
Man With A Van - Exact Match,Slough - Man With Van,[man and van slough],Exact,
Man With A Van - Exact Match,Penicuik - Man With Van,[man and van penicuik],Exact,
Man With A Van - Exact Match,Amble - Man With Van,[man and van amble],Exact,
Man With A Van - Exact Match,Morley - Man With Van,[man and van morley],Exact,
Man With A Van - Exact Match,Carterton - Man With Van,[man and van carterton],Exact,
Man With A Van - Exact Match,Chipping Norton - Man With Van,[man and van chipping norton],Exact,
Man With A Van - Exact Match,Dunstable - Man With Van,[man and van dunstable],Exact,
Man With A Van - Exact Match,Garstang - Man With Van,[man and van garstang],Exact,
Man With A Van - Exact Match,Gorseinon - Man With Van,[man and van gorseinon],Exact,
Man With A Van - Exact Match,Horncastle - Man With Van,[man and van horncastle],Exact,
Man With A Van - Exact Match,Morecambe - Man With Van,[man and van morecambe],Exact,
Man With A Van - Exact Match,Stafford - Man With Van,[man and van stafford],Exact,
Man With A Van - Exact Match,Prestatyn - Man With Van,[man and van prestatyn],Exact,
Man With A Van - Exact Match,Bala - Man With Van,[man and van bala],Exact,
Man With A Van - Exact Match,Henley-in-Arden - Man With Van,[man and van henley-in-arden],Exact,
Man With A Van - Exact Match,Hertford - Man With Van,[man and van hertford],Exact,
Man With A Van - Exact Match,Kidsgrove - Man With Van,[man and van kidsgrove],Exact,
Man With A Van - Exact Match,Leiston - Man With Van,[man and van leiston],Exact,
Man With A Van - Exact Match,Llanfyllin - Man With Van,[man and van llanfyllin],Exact,
